nombre_ent,nombre_mun,nombre_tip,d_nombre,d_codigopo
Morelos,Cuautla,Unidad habitacional,Magisterial,62757
Colima,Manzanillo,Fraccionamiento,Los Mangos,28869
Nayarit,Jala,Colonia,Juan Escutia,63890
Sinaloa,Salvador Alvarado,Colonia,San Miguel,81420
Tamaulipas,Nuevo Laredo,Colonia,Independencia,88020
Tlaxcala,Yauhquemehcan,Fraccionamiento,La Cima de Piedra II,90450
Jalisco,Zapopan,Unidad habitacional,Unidad Auditorio 2a Secc,45180
Veracruz de Ignacio de la Llave,Veracruz,Colonia,Granjas de Rio Medio,91808
Baja California,Tijuana,Colonia,Jardines de Chapultepec S-E,22034
Colima,Manzanillo,Fraccionamiento,Nuevo Salagua,28869
Nayarit,Jala,Colonia,Independencia,63893
Campeche,Calakmul,Ejido,Carlos A Madrazo,24646
Sinaloa,Salvador Alvarado,Colonia,5 de Febrero,81426
Tamaulipas,Nuevo Laredo,Colonia,Victoria,88030
Tlaxcala,Yauhquemehcan,Fraccionamiento,Los Sauces IV,90450
Puebla,Honey,Pueblo,Chila,73130
Jalisco,Zapopan,Colonia,CUCEA Universidad de Guadalajara,45180
Veracruz de Ignacio de la Llave,Saltabarranca,Colonia,Guadalupe,95480
Baja California,Tijuana,Colonia,Planetario,22034
Colima,Manzanillo,Fraccionamiento,Almendros Residencial,28869
Nayarit,Jala,Colonia,Jardines del  Llano,63883
Campeche,Calakmul,Ejido,Centauro del Norte,24655
Sinaloa,Salvador Alvarado,Colonia,La Cuesta de Higuera,81427
Tamaulipas,Nuevo Laredo,Colonia,Ferrocarril,88040
Veracruz de Ignacio de la Llave,Xalapa,Colonia,Guadalupe Victoria,91014
Jalisco,Zapopan,Colonia,27 de Septiembre,45180
Colima,Manzanillo,Fraccionamiento,Villa Coral,28219
Sinaloa,Salvador Alvarado,Colonia,10 de Mayo,81429
Tamaulipas,Nuevo Laredo,Colonia,Ojo Caliente,88040
Tlaxcala,Tlaxco,Fraccionamiento,Las ?nimas,90250
Puebla,Honey,Pueblo,Huehuetlilla,73134
Jalisco,Zapopan,Colonia,Venustiano Carranza,45180
Oaxaca,Santiago Jocotepec,Pueblo,Santiago Jocotepec,68920
Tlaxcala,Apizaco,Fraccionamiento,Campestre los Sabinos,90370
Nayarit,Jala,Colonia,La Quinta,63895
Campeche,Calakmul,Ejido,Cerro de las Flores (Sta. Rosa),24646
Morelos,Jiutepec,Unidad habitacional,Narciso Mendoza Terreno Uno,62578
Chiapas,Aldama,Pueblo,Aldama,29877
Jalisco,Zapopan,Colonia,Villas Del Marques,45180
Oaxaca,Santiago Jocotepec,Pueblo,San Antonio las Palmas,68921
Baja California,Tijuana,Colonia,Tepeyac,22635
Distrito Federal,Cuajimalpa de Morelos,Colonia,Xalpa,5730
Colima,Villa de ?lvarez,Fraccionamiento,El Haya,28983
Morelos,Jiutepec,Unidad habitacional,Narciso Mendoza Terreno Dos,62578
Sonora,Ures,Ciudad,Ures,84900
Puebla,Naupan,Pueblo,Copila,73140
Veracruz de Ignacio de la Llave,Nogales,Unidad habitacional,Hermenegildo Galeana,94723
Baja California,Tijuana,Colonia,Tejamen,22635
Nayarit,Jala,Colonia,La Cruz,63894
Colima,Villa de ?lvarez,Fraccionamiento,Verde Valle,28984
Sinaloa,Salvador Alvarado,Colonia,Militar,81440
Tamaulipas,Nuevo Laredo,Colonia,Zaragoza,88060
Puebla,Naupan,Pueblo,Chachahuantla,73140
Colima,Colima,Colonia,San Carlos,28063
Baja California,Tijuana,Colonia,Herradura Sur,22035
Distrito Federal,Cuajimalpa de Morelos,Colonia,La Pila,5750
Nayarit,Jala,Colonia,Merced Ibarra,63894
Morelos,Jiutepec,Unidad habitacional,CIVAC los Robles,62578
Sinaloa,Salvador Alvarado,Colonia,15 de Julio,81440
Tlaxcala,Santa Cruz Tlaxcala,Fraccionamiento,Villas de San Miguel II,90640
Tamaulipas,Nuevo Laredo,Colonia,Viveros,88070
Puebla,Naupan,Pueblo,Iczotitla,73140
Jalisco,Zapopan,Colonia,Constituyentes,45184
Colima,Colima,Colonia,Parajes del Sur,28079
Campeche,Calakmul,Ejido,Dos Lagunas,24644
Morelos,Jiutepec,Colonia,Morelos,62577
Tabasco,Teapa,Colonia,Teapa Centro,86800
Tamaulipas,Nuevo Laredo,Colonia,Altavista,88100
Tlaxcala,Tetla de la Solidaridad,Fraccionamiento,Jardines de San Bartolo,90430
Sonora,Ures,Ejido,Santiago,84905
Puebla,Naupan,Pueblo,Mextla,73140
Jalisco,Zapopan,Conjunto habitacional,Hermenegildo Galeana,45184
Oaxaca,Santiago Jocotepec,Ejido,San Pedro Tepinapa (Ejidal),68928
Baja California,Tijuana,Colonia,Camino Real,22195
Distrito Federal,Cuajimalpa de Morelos,Colonia,Las Lajas,5760
Campeche,Calakmul,Ejido,Dos Naciones,24647
Colima,Villa de ?lvarez,Fraccionamiento,Higueras del Espinal,28984
Sinaloa,Salvador Alvarado,Colonia,Emiliano Zapata,81448
Tamaulipas,Nuevo Laredo,Colonia,CNOP,88100
Morelos,Yautepec,Colonia,?lvaro Leonel,62735
Puebla,Naupan,Pueblo,Naupan,73140
Jalisco,Zapopan,Colonia,Industrial los Belenes,45157
Baja California,Tijuana,Colonia,Colinas de Agua Caliente,22030
Sinaloa,Salvador Alvarado,Fraccionamiento,Emiliano Zapata,81448
Veracruz de Ignacio de la Llave,Atoyac,Colonia,Hidalgo,94964
Tlaxcala,Yauhquemehcan,Fraccionamiento,La Esperanza,90450
Puebla,Naupan,Pueblo,Tlaxpanaloya,73140
Baja California,Tijuana,Colonia,El Mirador (La Mesa),22195
Tamaulipas,Nuevo Laredo,Fraccionamiento,Solidaridad,88105
Veracruz de Ignacio de la Llave,Camerino Z. Mendoza,Colonia,Hogar,94744
Puebla,Naupan,Pueblo,Cueyatla,73141
Jalisco,Zapopan,Colonia,Pedro Moreno,45180
Campeche,Calakmul,Ejido,El Carmen II,24645
Colima,Villa de ?lvarez,Fraccionamiento,Hacienda del Carmen,28978
Quintana Roo,Bacalar,Ejido,Salamanca,77937
Morelos,Jiutepec,Fraccionamiento,Las Mercedes,62564
Sinaloa,Salvador Alvarado,Colonia,Del Evora,81460
Tlaxcala,Tlaxcala,Fraccionamiento,El Fresno,90114
Puebla,Naupan,Pueblo,Tenextitla,73142
Jalisco,Zapopan,Colonia,La Palmita,45180
Colima,Colima,Fraccionamiento,Paseo de la Hacienda,28017
Distrito Federal,Cuajimalpa de Morelos,Colonia,Agua Bendita,5780
Campeche,Calakmul,Ejido,El Chichonal,24648
Morelos,Jiutepec,Fraccionamiento,Los Electricistas,62564
Sinaloa,Salvador Alvarado,Colonia,Morelos,81460
Tamaulipas,Nuevo Laredo,Colonia,Del Maestro,88110
Tlaxcala,Tlaxcala,Colonia,Insurgentes,90062
Sonora,Ures,Pueblo,Guadalupe,84911
Oaxaca,San Juan Lalana,Pueblo,San Juan Lalana,68940
Colima,Colima,Fraccionamiento,Colinas de Santa Fe,28017
Campeche,Calakmul,Ejido,El Manantial,24645
Morelos,Jiutepec,Unidad habitacional,Insurgentes,62553
Sinaloa,Salvador Alvarado,Colonia,Los Parques,81469
Tamaulipas,Nuevo Laredo,Colonia,Buenavista,88120
Tlaxcala,Tlaxcala,Fraccionamiento,Las Rosas,90102
Sonora,Ures,Pueblo,?lamos,84918
Puebla,Huauchinango,Pueblo,Cuacuila,73160
Jalisco,Zapopan,Colonia,Jardines Del Auditorio,45180
Colima,Colima,Fraccionamiento,Paseo de la Cantera,28017
Campeche,Calakmul,Ejido,El Porvenir,24643
Morelos,Jiutepec,Unidad habitacional,La Rosa,62553
Sinaloa,Salvador Alvarado,Colonia,Insurgentes,81470
Zacatecas,Mazapil,Fraccionamiento,Infonavit,98245
Tamaulipas,Nuevo Laredo,Fraccionamiento,Maclovio Herrera,88120
Tlaxcala,Tlaxcala,Fraccionamiento,Tlapala,90062
Sonora,Ures,Pueblo,Pueblo de ?lamos,84918
Jalisco,Zapopan,Colonia,Emiliano Zapata,45185
Colima,Colima,Fraccionamiento,La Esperanza,28085
Campeche,Calakmul,Ejido,El Refugio,24643
Sinaloa,Salvador Alvarado,Colonia,La Gloria,81470
Puebla,Huauchinango,Colonia,Huauchinango Centro,73170
Veracruz de Ignacio de la Llave,Xalapa,Colonia,Huizachal,91160
Jalisco,Zapopan,Colonia,Jardines de Tabachines,45188
Baja California Sur,La Paz,Colonia,El Zacatal,23088
Baja California,Tijuana,Colonia,Los Olivos,22194
Tlaxcala,Apizaco,Unidad habitacional,La Perla II,90355
Campeche,Calakmul,Ejido,El Tesoro,24646
Morelos,Jiutepec,Unidad habitacional,Rinconada las Palmas,62553
Sinaloa,Salvador Alvarado,Colonia,Magisterio,81470
Puebla,Huauchinango,Pueblo,Huilacapixtla,73164
Jalisco,Zapopan,Colonia,Lomas Del Vergel,45188
Sonora,Aconchi,Pueblo,Aconchi,84920
Colima,Colima,Fraccionamiento,Santa Gertrudis,28017
Baja California,Tijuana,Colonia,Monte Bello,22195
Tlaxcala,Apizaco,Fraccionamiento,Coporo y Cerro Azul I y II,90401
Baja California Sur,Los Cabos,Residencial,El Rosarito,23407
Morelos,Jiutepec,Unidad habitacional,El Pochotal,62554
Sinaloa,Salvador Alvarado,Unidad habitacional,Jobori,81474
Puebla,Huauchinango,Pueblo,Papatlazolco,73168
Jalisco,Zapopan,Colonia,Tabachines,45188
Veracruz de Ignacio de la Llave,Vega de Alatorre,Colonia,Independencia,93960
Colima,Colima,Fraccionamiento,Real de Don Juan,28078
Baja California,Tijuana,Colonia,Real del Monte,22195
Tlaxcala,Apizaco,Fraccionamiento,San Luis,90401
Baja California Sur,Los Cabos,Fraccionamiento,Costa Brava,23405
Campeche,Calakmul,Ejido,Gustavo Diaz Ordaz,24645
Morelos,Jiutepec,Fraccionamiento,Los Bosques,62554
Sinaloa,Salvador Alvarado,Colonia,Las Palmas,81474
Tamaulipas,Nuevo Laredo,Colonia,La Joya,88125
Jalisco,Zapopan,Colonia,Villas de Guadalupe,45189
Sonora,Aconchi,Poblado comunal,San Pablo (San Pablo de Aconchi),84928
Baja California,Tijuana,Residencial,Santa Anita,22195
Campeche,Calakmul,Ejido,Heriberto Jara Corona,24648
Morelos,Jiutepec,Unidad habitacional,La Joya,62565
Sinaloa,Salvador Alvarado,Fraccionamiento,San Miguel,81474
Zacatecas,Mazapil,Fraccionamiento,Del Norte,98245
Chiapas,Salto de Agua,Ejido,Ignacio Zaragoza,29905
Jalisco,Zapopan,Colonia,Vista Hermosa,45189
Sonora,Aconchi,Poblado comunal,La Estancia,84929
Baja California Sur,La Paz,Fraccionamiento,Bugambilias,23090
Baja California,Tijuana,Colonia,Sonora,22195
Tlaxcala,Apizaco,Fraccionamiento,Lomas del Bosque II,90406
Morelos,Jiutepec,Unidad habitacional,Roberto Osorio Sosa,62550
Sinaloa,Salvador Alvarado,Colonia,10 de Abril,81475
Tamaulipas,Nuevo Laredo,Colonia,Buenos Aires,88130
Veracruz de Ignacio de la Llave,Coatepec,Colonia,Las Jacarandas,91519
Puebla,Huauchinango,Pueblo,Venta Grande,73167
Chiapas,Salto de Agua,Ciudad,Salto de Agua,29900
Jalisco,Zapopan,Colonia,Atemajac Del Valle,45190
Tlaxcala,Apizaco,Fraccionamiento,Jardines de San Isidro,90406
Colima,Villa de ?lvarez,Fraccionamiento,Residencial Tulipanes,28983
Sinaloa,Salvador Alvarado,Colonia,1 de Mayo,81476
Tabasco,Teapa,Ejido,Andres Quintana Roo 1a Secc,86824
Morelos,Temixco,Fraccionamiento,Los Sabinos,62586
Puebla,Huauchinango,Pueblo,Xilocuautla,73168
Jalisco,Zapopan,Colonia,El Batan,45190
Baja California Sur,La Paz,Fraccionamiento,Las Palmas,23084
Baja California,Tijuana,Colonia,Villa Colonial,22194
Tlaxcala,Apizaco,Colonia,10 de Mayo,90402
Colima,Villa de ?lvarez,Colonia,Villa Flores II,28983
Sinaloa,Salvador Alvarado,Colonia,Tultita,81477
Tamaulipas,Nuevo Laredo,Colonia,Lic. Luis Donaldo Colosio,88134
Chiapas,Salto de Agua,Ejido,Francisco I Madero,29905
Jalisco,Zapopan,Colonia,Gonzalez Ortega,45190
Oaxaca,Santiago Yaveo,Pueblo,San Juan Jaltepec,68960
Colima,Colima,Fraccionamiento,Margaritas,28047
Baja California Sur,La Paz,Colonia,Agua Escondida,23080
Tlaxcala,Apizaco,Colonia,Francisco I. Madero,90402
Sinaloa,Salvador Alvarado,Colonia,Unidad Nacional,81478
Durango,Poanas,Pueblo,El Refugio,34800
Tamaulipas,Nuevo Laredo,Colonia,20 de Noviembre,88134
Puebla,Huauchinango,Pueblo,Tenango de las Flores,73161
Oaxaca,Santiago Yaveo,Pueblo,Santiago Yaveo,68960
Baja California Sur,La Paz,Puerto,Puerto de Pichilingue,23208
Colima,Comala,Colonia,Campo Verde,28450
Tlaxcala,Apizaco,Fraccionamiento,La Paz,90401
Quintana Roo,Bacalar,Fraccionamiento,El Encanto,77943
Sinaloa,Salvador Alvarado,Colonia,Victoria,81479
Morelos,Temixco,Unidad habitacional,Valle Verde,62584
Chiapas,Salto de Agua,Ejido,Nueva Esperanza,29904
Veracruz de Ignacio de la Llave,Misantla,Colonia,Jardines de Misantla,93826
Jalisco,Zapopan,Colonia,Miguel Hidalgo,45186
Oaxaca,Santiago Yaveo,Pueblo,Zapotitancillo,68960
Colima,Comala,Colonia,Solidaridad Aguajitos,28450
Baja California,Tijuana,Colonia,Santa Cecilia,22194
Tlaxcala,Apizaco,Fraccionamiento,El Farallon,90401
Quintana Roo,Solidaridad,Fraccionamiento,Puerto Maya,77734
Sinaloa,Salvador Alvarado,Colonia,San Pedro,81480
Durango,Poanas,Pueblo,Narciso Mendoza,34816
Tamaulipas,Nuevo Laredo,Colonia,Unidad Nacional,88135
Veracruz de Ignacio de la Llave,Coatepec,Colonia,Jardines de Pastoreza,91569
Puebla,Huauchinango,Pueblo,Tepetzintla de Galeana,73162
Chiapas,Salto de Agua,Ejido,San Miguel,29905
Jalisco,Zapopan,Colonia,Hogares,45190
Baja California Sur,La Paz,Fraccionamiento,Las ?guilas,23076
Colima,Comala,Colonia,Real Nogueras,28450
Tlaxcala,Apizaco,Fraccionamiento,Residencial Las Flores,90401
Campeche,Calakmul,Ejido,La Guadalupe,24648
Tabasco,Teapa,Ejido,Miguel Hidalgo y Costilla 3a Secc (Calcinado),86815
Hidalgo,Chapantongo,Colonia,Chapantongo Centro,42900
Durango,Poanas,Ejido,Noria de los Pilares,34825
Tamaulipas,Nuevo Laredo,Colonia,Nueva Era,88136
Puebla,Huauchinango,Pueblo,Ayohuixcuautla,73163
Chiapas,Salto de Agua,Pueblo,Cenobio Aguilar,29902
Quintana Roo,Felipe Carrillo Puerto,Pueblo,Santa Amalia,77156
Colima,Comala,Colonia,Lomas del Pedregal,28450
Baja California,Tijuana,Fraccionamiento,Residencial Agua Caliente,22194
Tlaxcala,Apizaco,Fraccionamiento,La Colina,90401
Hidalgo,Chapantongo,Pueblo,San Juan el Sabino,42906
Durango,Poanas,Pueblo,La Ochoa,34830
Tamaulipas,Nuevo Laredo,Zona militar,Cuartel Militar Macario Zamora,88140
Puebla,Huauchinango,Pueblo,Cuahueyatla,73163
Chiapas,Salto de Agua,Ejido,El Toro,29903
Jalisco,Zapopan,Colonia,Jardines de los Belenes,45190
Baja California Sur,La Paz,Fraccionamiento,Las Tunas,23076
Colima,Comala,Colonia,Lomas Altas,28450
Tlaxcala,Apizaco,Fraccionamiento,Lomas de Apizaquito,90401
Campeche,Calakmul,Ejido,Lucha,24648
Sinaloa,Salvador Alvarado,Colonia,Las Garzas,81490
Hidalgo,Chapantongo,Pueblo,Tlaunilolpan,42913
Durango,Poanas,Pueblo,Veracruz,34830
Puebla,Huauchinango,Pueblo,Alseseca,73164
Chiapas,Salto de Agua,Ejido,Tiemopa,29903
Veracruz de Ignacio de la Llave,Xalapa,Fraccionamiento,Jardines del Castillo,91154
Colima,Comala,Colonia,Real de Mendoza,28450
Tlaxcala,Apizaco,Colonia,San Marcos,90407
Campeche,Calakmul,Ejido,La Victoria,24645
Sinaloa,Salvador Alvarado,Colonia,Amapas,81498
Hidalgo,Chapantongo,Pueblo,Chapulaco,42902
Durango,Poanas,Pueblo,Francisco Zarco,34806
Morelos,Yautepec,Barrio,Buenavista,62733
Puebla,Huauchinango,Pueblo,Cuauxinca,73164
Veracruz de Ignacio de la Llave,Nautla,Pueblo,Jicaltepec,93808
Jalisco,Zapopan,Unidad habitacional,Las Palomas,45190
Oaxaca,San Juan Petlapa,Pueblo,San Juan Petlapa,68980
Colima,Comala,Colonia,Barrio Alto,28450
Tlaxcala,Apizaco,Colonia,Atlayoalco,90407
Campeche,Calakmul,Ejido,La Virgencita de La Candelaria,24645
Tabasco,Teapa,Ejido,Mariano Pedrero 3a Secc,86824
Durango,Poanas,Pueblo,Cieneguilla,34813
Morelos,Yautepec,Colonia,Felipe Neri,62732
Puebla,Huauchinango,Pueblo,Matlaluca,73164
Chiapas,Salto de Agua,Ejido,Chuchuclumil,29902
Jalisco,Zapopan,Colonia,Lomas Del Batan,45190
Colima,Comala,Colonia,Campestre Comala,28450
Baja California,Tijuana,Colonia,Internacional,22640
Quintana Roo,Solidaridad,Colonia,Nuevo Centro Urbano,77723
Tlaxcala,Chiautempan,Colonia,La Laguna,90804
